POST_CODE,SUBURB_GROUP,SUBURB_NAMES,Median House Price 2022,Total Crime 2023,Estimated_Resident_Population_2021,Crime/Population Quotient,School_Count_2022,Has Hospital,Has Police Station,Has Supermarket,Affordability Livability Grade,Crime Livability Grade,School Livability Grade,Final Liveability Grade
3807,Outer,Beaconsfield,940000.0,269,23947,1.1233139850503195,2,0.0,0.0,1.0,4,5,1,11.0
3075,Outer,Lalor,700000.0,777,10032,7.7452153110047846,8,0.0,0.0,1.0,5,2,3,11.0
3977,Outer,"Botanic Ridge, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne West, Cranbourne South, Junction Village, Fiveways, Sandhurst, Skye",776900.0,4905,21580,22.72937905468026,25,1.0,1.0,1.0,4,1,3,11.0
3912,Outer,"Pearcedale, Somerville, Pearcedale",813000.0,460,8082,5.691660480079188,5,0.0,1.0,1.0,4,3,2,11.0
3082,Outer,Mill Park,786000.0,1216,17647,6.8906896356321194,6,0.0,1.0,1.0,4,3,2,11.0
3087,Mid,"Watsonia, Watsonia North",903000.0,254,9303,2.73030205310115,3,0.0,0.0,1.0,4,5,1,11.0
3810,Outer,Pakenham,652000.0,3019,15615,19.333973743195646,11,0.0,1.0,1.0,5,1,3,11.0
3099,Outer,Hurstbridge,950000.0,101,3573,2.8267562272600055,4,0.0,1.0,0.0,4,5,1,11.0
3750,Outer,Wollert,710000.0,565,24762,2.2817219933769484,4,0.0,0.0,0.0,5,5,1,11.0
3133,Mid,"Vermont, Vermont South",1309500.0,512,11083,4.619687810159704,9,1.0,0.0,1.0,2,4,3,11.0
3073,Mid,Reservoir,940000.0,3290,14989,21.94942958169324,14,1.0,1.0,1.0,4,1,3,11.0
3152,Mid,"Wantirna, Wantirna South, Studfield",1094166.6666666667,1457,14450,10.083044982698961,12,1.0,1.0,1.0,3,2,3,11.0
3765,Outer,Montrose,913500.0,129,6995,1.8441744102930664,2,0.0,0.0,1.0,4,5,1,11.0
3763,Outer,Kinglake,770000.0,42,4235,0.9917355371900827,1,0.0,0.0,0.0,5,5,1,11.0
3756,Outer,Wallan,630000.0,725,22933,3.161383159638948,5,0.0,0.0,0.0,5,4,2,11.0
3175,Outer,"Dandenong, Dandenong North",740000.0,7213,22839,31.581943167389113,15,0.0,1.0,1.0,5,1,3,11.0
3201,Outer,Carrum Downs,715000.0,1281,22262,5.754199982032163,4,0.0,1.0,1.0,5,3,1,11.0
3754,Outer,"Doreen, Doreen, Mernda",710750.0,1309,16477,7.944407355707956,10,0.0,1.0,0.0,5,2,3,11.0
