POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,School_Count
3178,Eastern municipalities and their suburbs,City of Knox,Mid,Rowville,6
3180,Eastern municipalities and their suburbs,City of Knox,Mid,Knoxfield,3
3181,Southeastern municipalities and their suburbs,City of Stonnington,Mid,"Prahran, Windsor",3
3182,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"St Kilda, St Kilda West",4
3183,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"Balaclava, St Kilda East, St Kilda East",6
3184,Inner City municipalities and their suburbs,City of Port Phillip,Inner,Elwood,4
3185,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Ripponlea, Gardenvale, Elsternwick, Gardenvale",4
3186,Southeastern municipalities and their suburbs,City of Bayside,Mid,Brighton,8
3187,Southeastern municipalities and their suburbs,City of Bayside,Mid,Brighton East,4
3188,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Hampton, Hampton East",4
3189,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Moorabbin, Moorabbin",5
3190,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Highett, Highett",1
3191,Southeastern municipalities and their suburbs,City of Bayside,Mid,Sandringham,4
3192,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Cheltenham, Cheltenham, Cheltenham East, Cheltenham North",6
3193,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Beaumaris, Black Rock",6
3194,Southeastern municipalities and their suburbs,City of Kingston,Mid,Mentone,8
3195,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Aspendale, Aspendale Gardens, Mordialloc, Parkdale, Waterways",11
3196,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Bonbeach, Chelsea, Chelsea Heights, Edithvale",5
3197,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Carrum, Patterson Lakes, Patterson Gardens",2
3198,Southeastern municipalities and their suburbs,City of Frankston,Outer,Seaford,8
3199,Southeastern municipalities and their suburbs,City of Frankston,Outer,"Frankston, Frankston South",19
3200,Southeastern municipalities and their suburbs,City of Frankston,Outer,Frankston North,3
3201,Southeastern municipalities and their suburbs,City of Frankston,Outer,Carrum Downs,4
3204,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Bentleigh, McKinnon, Ormond",10
3205,Inner City municipalities and their suburbs,City of Port Phillip,Inner,South Melbourne,3
3206,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"Albert Park, Middle Park",4
3207,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"Port Melbourne, Port Melbourne, Garden City",3
3335,Western municipalities and their suburbs,City of Melton,Outer,"Rockbank, Strathtulloh, Taylors Hill, Thornhill Park",1
3337,Western municipalities and their suburbs,City of Melton,Outer,"Kurunjang, Melton, Melton West",15
3338,Western municipalities and their suburbs,City of Melton,Outer,"Brookfield, Eynesbury, Fraser Rise, Harkness, Melton South, Eynesbury",10
3427,Western municipalities and their suburbs,City of Melton,Outer,"Diggers Rest, Diggers Rest",1
3429,Northern municipalities and their suburbs,City of Hume,Outer,Sunbury,14
3750,Northern municipalities and their suburbs,City of Whittlesea,Outer,Wollert,4
3752,Northern municipalities and their suburbs,City of Whittlesea,Outer,South Morang,4
3754,Northern municipalities and their suburbs,City of Whittlesea,Outer,"Doreen, Doreen, Mernda",10
3756,Northern municipalities and their suburbs,City of Whittlesea,Outer,Wallan,5
3757,Northern municipalities and their suburbs,City of Whittlesea,Outer,Whittlesea,5
3763,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Kinglake,1
3765,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Montrose,2
3767,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Mount Dandenong,1
3777,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,"Badger Creek, Healesville, Healesville",7
3793,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Monbulk,4
3796,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Mount Evelyn,5
3802,Southeastern municipalities and their suburbs,City of Casey,Outer,Endeavour Hills,10
3803,Southeastern municipalities and their suburbs,City of Casey,Outer,Hallam,2
3804,Southeastern municipalities and their suburbs,City of Casey,Outer,Narre Warren North,5
3805,Southeastern municipalities and their suburbs,City of Casey,Outer,"Narre Warren, Narre Warren South",13
3806,Southeastern municipalities and their suburbs,City of Casey,Outer,Berwick,13
3807,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Beaconsfield,2
3810,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Pakenham,11
3815,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Bunyip,2
3910,Southeastern municipalities and their suburbs,City of Frankston,Outer,Langwarrin,5
3912,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Pearcedale, Somerville, Pearcedale",5
3915,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Hastings, Hastings West",4
3930,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Mount Eliza,7
3931,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Mornington,7
3934,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Mount Martha, Balcombe, Osborne",3
3936,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Dromana, Safety Beach",3
3939,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Rosebud, Rosebud South, Cape Schanck, Fingal",5
3975,Southeastern municipalities and their suburbs,City of Casey,Outer,"Lynbrook, Lyndhurst",3
3976,Southeastern municipalities and their suburbs,City of Casey,Outer,Hampton Park,6
3977,Southeastern municipalities and their suburbs,City of Casey,Outer,"Botanic Ridge, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne West, Cranbourne South, Junction Village, Fiveways, Sandhurst, Skye",25
3978,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,"Clyde, Clyde North",10
3981,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Koo Wee Rup,4
