POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,Estimated_Resident_Population
3149,Southeastern municipalities and their suburbs,City of Monash,Mid,Mount Waverley,16241
3150,Southeastern municipalities and their suburbs,City of Monash,Mid,"Glen Waverley, Syndal, Wheelers Hill",21899
3151,Eastern municipalities and their suburbs,City of Whitehorse,Mid,Burwood East,10778
3152,Eastern municipalities and their suburbs,City of Knox,Mid,"Wantirna, Wantirna South, Studfield",14450
3153,Eastern municipalities and their suburbs,City of Knox,Mid,"Bayswater, Bayswater North",12707
3154,Eastern municipalities and their suburbs,City of Knox,Mid,The Basin,4380
3155,Eastern municipalities and their suburbs,City of Knox,Mid,Boronia,23831
3156,Eastern municipalities and their suburbs,City of Knox,Mid,"Ferntree Gully, Lysterfield, Upper Ferntree Gully, Upper Ferntree Gully, Lysterfield, Lysterfield South",6656
3158,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Upwey,9848
3160,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,"Belgrave, Belgrave Heights, Belgrave South, Tecoma",10095
3161,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,Caulfield North,22739
3162,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Caulfield, Caulfield South",18232
3163,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Carnegie, Glen Huntly, Murrumbeena",18803
3165,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,Bentleigh East,14153
3166,Southeastern municipalities and their suburbs,City of Monash,Mid,"Hughesdale, Huntingdale, Oakleigh, Oakleigh East",7644
3168,Southeastern municipalities and their suburbs,City of Monash,Mid,"Clayton, Clayton North, Notting Hill",10114
3169,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Clarinda, Clayton South, Westall",11656
3170,Southeastern municipalities and their suburbs,City of Monash,Mid,Mulgrave,20078
3171,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Springvale,22537
3172,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Springvale South, Dingley Village",10554
3173,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Keysborough,15204
3174,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,"Noble Park, Noble Park North",7520
3175,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,"Dandenong, Dandenong North",22839
3177,Southeastern municipalities and their suburbs,City of Casey,Outer,"Doveton, Eumemmerring",12061
3178,Eastern municipalities and their suburbs,City of Knox,Mid,Rowville,15540
3180,Eastern municipalities and their suburbs,City of Knox,Mid,Knoxfield,16733
3181,Southeastern municipalities and their suburbs,City of Stonnington,Mid,"Prahran, Windsor",19460
3182,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"St Kilda, St Kilda West",26204
