POST_CODE,POST_CODE,Offence Division,Sum
598,3149,E Justice procedures offences,5
599,3149,F Other offences,1
600,3150,A Crimes against the person,29
601,3150,B Property and deception offences,33
602,3150,C Drug offences,8
603,3150,D Public order and security offences,15
604,3150,E Justice procedures offences,10
605,3150,F Other offences,2
606,3151,A Crimes against the person,12
607,3151,B Property and deception offences,16
608,3151,C Drug offences,4
609,3151,D Public order and security offences,6
610,3151,E Justice procedures offences,5
611,3152,A Crimes against the person,26
612,3152,B Property and deception offences,33
613,3152,C Drug offences,8
614,3152,D Public order and security offences,11
615,3152,E Justice procedures offences,10
616,3152,F Other offences,3
617,3153,A Crimes against the person,27
618,3153,B Property and deception offences,28
619,3153,C Drug offences,8
620,3153,D Public order and security offences,12
621,3153,E Justice procedures offences,8
622,3153,F Other offences,1
623,3154,A Crimes against the person,11
624,3154,B Property and deception offences,12
625,3154,C Drug offences,3
626,3154,D Public order and security offences,4
627,3154,E Justice procedures offences,5
628,3154,F Other offences,1
629,3155,A Crimes against the person,16
630,3155,B Property and deception offences,19
631,3155,C Drug offences,4
632,3155,D Public order and security offences,9
633,3155,E Justice procedures offences,7
634,3155,F Other offences,3
635,3156,A Crimes against the person,32
636,3156,B Property and deception offences,49
637,3156,C Drug offences,9
638,3156,D Public order and security offences,15
639,3156,E Justice procedures offences,12
640,3156,F Other offences,3
641,3158,A Crimes against the person,11
642,3158,B Property and deception offences,9
643,3158,C Drug offences,2
644,3158,D Public order and security offences,3
645,3158,E Justice procedures offences,4
646,3160,A Crimes against the person,21
647,3160,B Property and deception offences,34
648,3160,C Drug offences,1
649,3160,D Public order and security offences,5
650,3160,E Justice procedures offences,8
651,3160,F Other offences,2
652,3161,A Crimes against the person,15
653,3161,B Property and deception offences,13
654,3161,C Drug offences,3
655,3161,D Public order and security offences,6
656,3161,E Justice procedures offences,5
657,3161,F Other offences,1
658,3162,A Crimes against the person,15
659,3162,B Property and deception offences,27
660,3162,C Drug offences,4
661,3162,D Public order and security offences,10
662,3162,E Justice procedures offences,12
663,3163,A Crimes against the person,28
664,3163,B Property and deception offences,43
665,3163,C Drug offences,6
666,3163,D Public order and security offences,12
667,3163,E Justice procedures offences,14
668,3163,F Other offences,1
669,3165,A Crimes against the person,15
670,3165,B Property and deception offences,15
671,3165,C Drug offences,4
672,3165,D Public order and security offences,5
673,3165,E Justice procedures offences,7
674,3165,F Other offences,1
675,3166,A Crimes against the person,37
676,3166,B Property and deception offences,51
677,3166,C Drug offences,10
678,3166,D Public order and security offences,14
679,3166,E Justice procedures offences,19
