POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,A Crimes against the person,B Property and deception offences,C Drug offences,D Public order and security offences,E Justice procedures offences,F Other offences,Total Crime 2023
3131,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Nunawading, Forest Hill, Nunawading",157,648,27,24,99,2,957
3132,Eastern municipalities and their suburbs,City of Whitehorse,Mid,Mitcham,95,312,9,12,52,1,481
3133,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Vermont, Vermont South",77,372,16,8,39,0,512
3134,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Ringwood North, Ringwood, Ringwood North, Warranwood",348,1152,90,128,849,1,2568
3135,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Heathmont, Eastwood, Ringwood East",133,304,41,25,93,0,596
3136,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Croydon, Croydon Hills, Croydon North, Croydon South",368,666,82,84,265,6,1471
3137,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,"Kilsyth South, Kilsyth",120,221,17,11,103,0,472
3138,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Mooroolbark,207,291,25,30,117,1,671
3140,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Lilydale,219,444,44,53,142,3,905
3141,Southeastern municipalities and their suburbs,City of Stonnington,Mid,"South Yarra, South Yarra",330,1437,73,119,180,0,2139
3142,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Toorak,84,429,16,23,54,0,606
3143,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Armadale,50,357,6,10,18,0,441
3144,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Malvern,49,410,4,25,55,1,544
3145,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Malvern East,219,1672,50,77,181,4,2203
3146,Southeastern municipalities and their suburbs,City of Stonnington,Mid,"Glen Iris, Glen Iris",56,569,8,23,57,0,713
3147,Southeastern municipalities and their suburbs,City of Monash,Mid,"Ashburton, Ashwood",141,646,28,25,80,1,921
3149,Southeastern municipalities and their suburbs,City of Monash,Mid,Mount Waverley,183,951,26,27,94,2,1283
3150,Southeastern municipalities and their suburbs,City of Monash,Mid,"Glen Waverley, Syndal, Wheelers Hill",318,1419,46,62,206,2,2053
3151,Eastern municipalities and their suburbs,City of Whitehorse,Mid,Burwood East,71,365,13,17,32,0,498
3152,Eastern municipalities and their suburbs,City of Knox,Mid,"Wantirna, Wantirna South, Studfield",239,820,118,68,206,6,1457
3153,Eastern municipalities and their suburbs,City of Knox,Mid,"Bayswater, Bayswater North",255,661,98,62,211,3,1290
3154,Eastern municipalities and their suburbs,City of Knox,Mid,The Basin,50,55,14,11,19,1,150
3155,Eastern municipalities and their suburbs,City of Knox,Mid,Boronia,232,598,112,78,271,3,1294
3156,Eastern municipalities and their suburbs,City of Knox,Mid,"Ferntree Gully, Lysterfield, Upper Ferntree Gully, Upper Ferntree Gully, Lysterfield, Lysterfield South",295,820,106,64,192,3,1480
3158,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Upwey,35,101,3,5,14,0,158
3160,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,"Belgrave, Belgrave Heights, Belgrave South, Tecoma",57,152,9,9,40,2,269
3161,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,Caulfield North,70,475,11,15,40,1,612
3162,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Caulfield, Caulfield South",62,373,15,17,87,0,554
3163,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Carnegie, Glen Huntly, Murrumbeena",145,935,15,33,94,1,1223
3165,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,Bentleigh East,147,633,32,15,77,1,905
3166,Southeastern municipalities and their suburbs,City of Monash,Mid,"Hughesdale, Huntingdale, Oakleigh, Oakleigh East",203,1243,67,54,166,4,1737
3168,Southeastern municipalities and their suburbs,City of Monash,Mid,"Clayton, Clayton North, Notting Hill",251,1199,42,46,132,0,1670
3169,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Clarinda, Clayton South, Westall",164,636,43,33,103,2,981
3170,Southeastern municipalities and their suburbs,City of Monash,Mid,Mulgrave,118,726,27,39,108,0,1018
3171,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Springvale,267,1336,164,120,254,4,2145
