POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,NAME,Suburb,Latitude,Longitude,SUBURB_NAMES
3151,Eastern municipalities and their suburbs,City of Whitehorse,Mid,Coles,Burwood East,-37.8535375,145.1487011,Burwood East
3132,Eastern municipalities and their suburbs,City of Whitehorse,Mid,Coles,Mitcham,-37.8153201,145.19277983840948,Mitcham
3133,Eastern municipalities and their suburbs,City of Whitehorse,Mid,ALDI,Vermont South,-37.8556553,145.1823871,"Vermont, Vermont South"
3160,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,IGA,Belgrave South,-37.93169485,145.35814164445577,"Belgrave, Belgrave Heights, Belgrave South, Tecoma"
3116,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Woolworths,Chirnside Park,-37.7577207,145.3136509,Chirnside Park
3140,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,ALDI,Lilydale,-37.76086195,145.34920442840058,Lilydale
3765,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,IGA,Montrose,-37.81065785,145.34316810592378,Montrose
3138,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Coles,Mooroolbark,-37.7848321,145.31535518872727,Mooroolbark
3158,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,IGA,Upwey,-37.9041693,145.3311823805039,Upwey
3777,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Spiral Tubes,,-37.6559749,145.5061028,"Badger Creek, Healesville, Healesville"
3793,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Woolworths,Monbulk,-37.8753514,145.408825,Monbulk
3186,Southeastern municipalities and their suburbs,City of Bayside,Mid,Coles,Brighton,-37.9060865,145.0051856,Brighton
3192,Southeastern municipalities and their suburbs,City of Bayside,Mid,ALDI,Cheltenham,-37.9590509,145.0548965,"Cheltenham, Cheltenham, Cheltenham East, Cheltenham North"
3188,Southeastern municipalities and their suburbs,City of Bayside,Mid,Coles,Hampton,-37.945352299999996,145.0217911853768,"Hampton, Hampton East"
3190,Southeastern municipalities and their suburbs,City of Bayside,Mid,ALDI,Cheltenham,-37.955916599999995,145.03342477884854,"Highett, Highett"
3191,Southeastern municipalities and their suburbs,City of Bayside,Mid,Coles,Sandringham,-37.949435,145.0033564,Sandringham
3189,Southeastern municipalities and their suburbs,City of Kingston,Mid,Schutties Fasteners Pty LTd,Moorabbin,-37.942006,145.0678261,"Moorabbin, Moorabbin"
3807,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,ALDI,Beaconsfield,-38.0447574,145.36791040247576,Beaconsfield
3810,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,ALDI,Pakenham,-38.0645837,145.45470987118102,Pakenham
3806,Southeastern municipalities and their suburbs,City of Casey,Outer,Woolworths,Berwick,-38.0295132,145.3468395,Berwick
3977,Southeastern municipalities and their suburbs,City of Casey,Outer,ALDI,Lyndhurst,-38.07809925,145.25074483781418,"Botanic Ridge, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne West, Cranbourne South, Junction Village, Fiveways, Sandhurst, Skye"
3177,Southeastern municipalities and their suburbs,City of Casey,Outer,ALDI,Dandenong,-37.9833906,145.2161115,"Doveton, Eumemmerring"
3802,Southeastern municipalities and their suburbs,City of Casey,Outer,Coles,Endeavour Hills,-37.9775146,145.2582292,Endeavour Hills
3976,Southeastern municipalities and their suburbs,City of Casey,Outer,ALDI,Hampton Park,-38.034581,145.2842878,Hampton Park
3975,Southeastern municipalities and their suburbs,City of Casey,Outer,Coles,Lynbrook,-38.0522568,145.2568486,"Lynbrook, Lyndhurst"
3805,Southeastern municipalities and their suburbs,City of Casey,Outer,ALDI,Narre Warren,-38.017448,145.3010818,"Narre Warren, Narre Warren South"
3912,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,ALDI,Somerville,-38.2249896,145.1774728,"Pearcedale, Somerville, Pearcedale"
3175,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Coles,Dandenong,-37.9828511,145.2136939,"Dandenong, Dandenong North"
3173,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Woolworths,Keysborough,-38.0117526,145.1606959,Keysborough
3174,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Coles,Noble Park,-37.9654121,145.1730576,"Noble Park, Noble Park North"
3171,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Coles,Springvale,-37.9347488,145.1568383,Springvale
3172,Southeastern municipalities and their suburbs,City of Kingston,Mid,Woolworths,Dingley Village,-37.9834708,145.1329898,"Springvale South, Dingley Village"
3201,Southeastern municipalities and their suburbs,City of Frankston,Outer,ALDI,Carrum Downs,-38.1102384,145.16103415813782,Carrum Downs
3199,Southeastern municipalities and their suburbs,City of Frankston,Outer,Ritchies IGA,Frankston,-38.1472948,145.1446937193287,"Frankston, Frankston South"
3910,Southeastern municipalities and their suburbs,City of Frankston,Outer,Coles,Langwarrin,-38.1511574,145.19659208326095,Langwarrin
3198,Southeastern municipalities and their suburbs,City of Frankston,Outer,Ritchies IGA,Seaford,-38.1122489,145.1566421,Seaford
3204,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,ALDI,Bentleigh,-37.9175749,145.0340529035377,"Bentleigh, McKinnon, Ormond"
3162,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,Woolworths,Glen Huntly,-37.8889635,145.0410142759333,"Caulfield, Caulfield South"
3163,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,ALDI,Carnegie,-37.8846726,145.0588846,"Carnegie, Glen Huntly, Murrumbeena"
3195,Southeastern municipalities and their suburbs,City of Kingston,Mid,ALDI,Mordialloc,-38.0060286,145.0852374,"Aspendale, Aspendale Gardens, Mordialloc, Parkdale, Waterways"
3196,Southeastern municipalities and their suburbs,City of Kingston,Mid,Chelsea Heights IGA,Chelsea Heights,-38.0451707,145.1362888,"Bonbeach, Chelsea, Chelsea Heights, Edithvale"
3197,Southeastern municipalities and their suburbs,City of Kingston,Mid,ALDI,Carrum,-38.0766584,145.1235572330532,"Carrum, Patterson Lakes, Patterson Gardens"
3169,Southeastern municipalities and their suburbs,City of Kingston,Mid,Top Mart,Clayton,-37.927615700000004,145.11892590340886,"Clarinda, Clayton South, Westall"
3194,Southeastern municipalities and their suburbs,City of Kingston,Mid,ALDI,Mentone,-37.975193899999994,145.06769304172644,Mentone
3168,Southeastern municipalities and their suburbs,City of Monash,Mid,Coles,Clayton,-37.9280896,145.1181472,"Clayton, Clayton North, Notting Hill"
3150,Southeastern municipalities and their suburbs,City of Monash,Mid,ALDI,Glen Waverley,-37.8750268,145.164852,"Glen Waverley, Syndal, Wheelers Hill"
3166,Southeastern municipalities and their suburbs,City of Monash,Mid,The WaterStop Shop,Oakleigh,-37.8926895,145.0942006,"Hughesdale, Huntingdale, Oakleigh, Oakleigh East"
3149,Southeastern municipalities and their suburbs,City of Monash,Mid,Ritchie's IGA,Mount Waverley,-37.8763513,145.1285091,Mount Waverley
3170,Southeastern municipalities and their suburbs,City of Monash,Mid,Woolworths,Mulgrave,-37.935591,145.1885926,Mulgrave
3936,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,ALDI,Dromana,-38.33038195,144.98709230069073,"Dromana, Safety Beach"
3931,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,ALDI,Mornington,-38.2199315,145.06287276024923,Mornington
3930,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Ritchies,Mount Eliza,-38.1851366,145.0898437,Mount Eliza
3939,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Coles,Rosebud,-38.3614651,144.8921554,"Rosebud, Rosebud South, Cape Schanck, Fingal"
3915,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Coles,,-38.306256149999996,145.19146488788743,"Hastings, Hastings West"
3144,Southeastern municipalities and their suburbs,City of Stonnington,Mid,IGA,Malvern,-37.8532747,145.0414858,Malvern
3145,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Coles,Caulfield East,-37.876108,145.0429342,Malvern East
3181,Southeastern municipalities and their suburbs,City of Stonnington,Mid,The Source Bulk Foods,South Yarra,-37.8466976,144.991997,"Prahran, Windsor"
3142,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Woolworths,Toorak,-37.8481054,145.0052368,Toorak
3021,Western municipalities and their suburbs,City of Brimbank,Mid,Foodworks,St Albans,-37.73442025,144.80599649856634,"Albanvale, Kealba, Kings Park, St Albans"
3020,Western municipalities and their suburbs,City of Brimbank,Mid,Sunshine Fruit Market,Sunshine,-37.7848052,144.8331028,"Albion, Sunshine, Sunshine North, Sunshine West"
3012,Western municipalities and their suburbs,City of Maribyrnong,Mid,ALDI,West Footscray,-37.7930599,144.8607906,"Brooklyn, Brooklyn, Kingsville, Maidstone, West Footscray"
3023,Western municipalities and their suburbs,City of Brimbank,Mid,IGA,Deer Park,-37.7777999,144.7559358,"Cairnlea, Deer Park, Burnside, Burnside Heights, Caroline Springs, Cobblebank, Deanside"
3037,Western municipalities and their suburbs,City of Brimbank,Mid,Woolworths,Taylors Hill,-37.7230371,144.7516,"Delahey, Sydenham"
3030,Western municipalities and their suburbs,City of Wyndham,Outer,Coles,Point Cook,-37.8951123,144.7529168,"Derrimut, Point Cook, Sanctuary Lakes, Werribee, Werribee South"
3038,Western municipalities and their suburbs,City of Brimbank,Mid,Woolworths,Taylors Lakes,-37.7024047,144.7994466,"Keilor Downs, Keilor Lodge, Taylors Lakes"
3018,Western municipalities and their suburbs,City of Hobsons Bay,Mid,Coles,Altona,-37.868937849999995,144.8299895769772,"Altona, Seaholme"
3028,Western municipalities and their suburbs,City of Hobsons Bay,Mid,Spicelines,Laverton,-37.867266349999994,144.7610073882782,"Altona Meadows, Laverton South, Laverton, Seabrook, Laverton"
3025,Western municipalities and their suburbs,City of Hobsons Bay,Mid,ALDI,Altona North,-37.84473869999999,144.8454614020011,"Altona North, Altona East"
3016,Western municipalities and their suburbs,City of Hobsons Bay,Mid,Woolworths,Williamstown,-37.8577633,144.8825866,"Williamstown, Williamstown North"
3011,Western municipalities and their suburbs,City of Maribyrnong,Mid,The Happy Apple,Seddon,-37.8059935,144.8915717812015,"Footscray, Seddon"
3013,Western municipalities and their suburbs,City of Maribyrnong,Mid,Alligator Brand Pasta,Yarraville,-37.8213532,144.89622068309524,"Yarraville, Aintree, Bonnie Brook"
3338,Western municipalities and their suburbs,City of Melton,Outer,Coles,Melton South,-37.7017311,144.574255,"Brookfield, Eynesbury, Fraser Rise, Harkness, Melton South, Eynesbury"
3337,Western municipalities and their suburbs,City of Melton,Outer,ALDI,,-37.683050550000004,144.5788715714781,"Kurunjang, Melton, Melton West"
3029,Western municipalities and their suburbs,City of Wyndham,Outer,IGA,Hoppers Crossing,-37.8612753,144.6742753,"Truganina, Weir Views, Hoppers Crossing, Tarneit, Truganina"
3024,Western municipalities and their suburbs,City of Wyndham,Outer,ALDI,Wyndham Vale,-37.887483849999995,144.60720363420654,"Manor Lakes, Wyndham Vale, Mambourin"
