POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,prelim 2023,change 2021-22,change 2021-22,Growth PA,SUBURB_NAMES
3064,Northern municipalities and their suburbs,City of Hume,Outer,,213000.0,168000.0,390000.0,437000.0,500500.0,520000.0,525000.0,565000,626500,680000,670000,9,0,,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
3064,Northern municipalities and their suburbs,City of Whittlesea,Outer,,,,,,,530000.0,540000.0,620000,604000,665000,623000,10,,,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
3043,Northern municipalities and their suburbs,City of Hume,Outer,380000.0,392500.0,400000.0,460000.0,525000.0,645000.0,630000.0,636500.0,640000,728000,730000,677500,0,92,6.7,"Gladstone Park, Tullamarine, Gowanbrae, Tullamarine"
3043,Northern municipalities and their suburbs,City of Hume,Outer,393500.0,395000.0,412000.0,472500.0,530000.0,655000.0,665500.0,612000.0,640000,757500,760000,730000,0,93,6.8,"Gladstone Park, Tullamarine, Gowanbrae, Tullamarine"
3043,Northern municipalities and their suburbs,City of Moreland,Mid,393500.0,395000.0,412000.0,472500.0,530000.0,655000.0,665500.0,612000.0,640000,757500,760000,730000,0,93,6.8,"Gladstone Park, Tullamarine, Gowanbrae, Tullamarine"
3043,Northern municipalities and their suburbs,City of Moreland,Mid,467500.0,616500.0,557500.0,573000.0,619000.0,790000.0,727500.0,700500.0,739000,940000,900000,967500,-4,93,6.8,"Gladstone Park, Tullamarine, Gowanbrae, Tullamarine"
3059,Northern municipalities and their suburbs,City of Hume,Outer,537000.0,550000.0,539500.0,500000.0,510000.0,650000.0,720000.0,715000.0,720000,820000,880000,825000,7,64,5.1,Greenvale
3036,Northern municipalities and their suburbs,City of Hume,Outer,592500.0,572500.0,633000.0,703000.0,805000.0,845000.0,817000.0,836500.0,885000,1070500,1000000,1043500,-7,69,5.4,"Keilor, Keilor"
3036,Western municipalities and their suburbs,City of Brimbank,Mid,592500.0,572500.0,633000.0,703000.0,805000.0,845000.0,817000.0,836500.0,885000,1070500,1000000,1043500,-7,69,5.4,"Keilor, Keilor"
3429,Northern municipalities and their suburbs,City of Hume,Outer,350000.0,355000.0,360000.0,370000.0,395000.0,492000.0,546000.0,533500.0,570000,646500,670000,637500,4,91,6.7,Sunbury
3427,Northern municipalities and their suburbs,City of Hume,Outer,279000.0,280000.0,325000.0,325000.0,360000.0,440500.0,500000.0,515000.0,560000,614000,650500,670000,6,133,8.8,"Diggers Rest, Diggers Rest"
3427,Western municipalities and their suburbs,City of Melton,Outer,279000.0,280000.0,325000.0,325000.0,360000.0,440500.0,500000.0,515000.0,560000,614000,650500,670000,6,133,8.8,"Diggers Rest, Diggers Rest"
3040,Northern municipalities and their suburbs,City of Moonee Valley,Mid,852500.0,947500.0,1045000.0,1207500.0,1300000.0,1471000.0,1498500.0,1390000.0,1520000,1858000,1860000,,0,118,8.1,"Aberfeldie, Essendon, Essendon West"
