POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,NAME,Suburb,Latitude,Longitude,SUBURB_NAMES
3175,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Dandenong Police Station,Dandenong,-37.9901765,145.2171922,"Dandenong, Dandenong North"
3177,Southeastern municipalities and their suburbs,City of Casey,Outer,"Dandenong VIC 3177, Australia",Dandenong,-37.99029055,145.2172189774671,"Doveton, Eumemmerring"
3178,Eastern municipalities and their suburbs,City of Knox,Mid,Rowville Police Station,Rowville,-37.9189882,145.23873432171658,Rowville
3182,Inner City municipalities and their suburbs,City of Port Phillip,Inner,St Kilda Police Station,St Kilda,-37.8678683,144.9906544,"St Kilda, St Kilda West"
3189,Southeastern municipalities and their suburbs,City of Kingston,Mid,Moorabbin Police Complex,Moorabbin,-37.9370387,145.0381733,"Moorabbin, Moorabbin"
3191,Southeastern municipalities and their suburbs,City of Bayside,Mid,Bayside Police Station,Sandringham,-37.9483186,145.00389039157525,Sandringham
3192,Southeastern municipalities and their suburbs,City of Bayside,Mid,Cheltenham Police Station,Cheltenham,-37.9648454,145.0566785,"Cheltenham, Cheltenham, Cheltenham East, Cheltenham North"
3195,Southeastern municipalities and their suburbs,City of Kingston,Mid,Mordialloc Police Station,Mordialloc,-38.0037551,145.08631845218022,"Aspendale, Aspendale Gardens, Mordialloc, Parkdale, Waterways"
3196,Southeastern municipalities and their suburbs,City of Kingston,Mid,Chelsea Police Station,Chelsea,-38.05123775,145.1163609731704,"Bonbeach, Chelsea, Chelsea Heights, Edithvale"
3199,Southeastern municipalities and their suburbs,City of Frankston,Outer,Frankston Police Station,Frankston,-38.13852215,145.1249137329261,"Frankston, Frankston South"
3201,Southeastern municipalities and their suburbs,City of Frankston,Outer,Carrum Downs Police Station,Carrum Downs,-38.1149591,145.173401,Carrum Downs
3205,Inner City municipalities and their suburbs,City of Port Phillip,Inner,South Melbourne Police Station,South Melbourne,-37.83491735,144.95963135415468,South Melbourne
3337,Western municipalities and their suburbs,City of Melton,Outer,Melton Police Station,,-37.685772,144.57766471280098,"Kurunjang, Melton, Melton West"
3429,Northern municipalities and their suburbs,City of Hume,Outer,Sunbury Police Station,,-37.5795942,144.7357618,Sunbury
3754,Northern municipalities and their suburbs,City of Whittlesea,Outer,Mernda Police Station,Mernda,-37.6007826,145.09244607838792,"Doreen, Doreen, Mernda"
3757,Northern municipalities and their suburbs,City of Whittlesea,Outer,Whittlesea Police Station,,-37.5102256,145.1186201,Whittlesea
3793,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Monbulk Police Station,Monbulk,-37.8752212,145.4076111,Monbulk
3796,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Mount Evelyn Police Station,Mount Evelyn,-37.787155150000004,145.38055368967423,Mount Evelyn
3802,Southeastern municipalities and their suburbs,City of Casey,Outer,Endeavour Hills Police Station,Endeavour Hills,-37.9758196,145.2616274,Endeavour Hills
3805,Southeastern municipalities and their suburbs,City of Casey,Outer,Narre Warren Police Station,Narre Warren,-38.0257623,145.3111174,"Narre Warren, Narre Warren South"
3810,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Pakenham Police Station,Pakenham,-38.0619746,145.45250784682145,Pakenham
3815,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Bunyip,,-38.0975,145.718,Bunyip
3912,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Somerville VIC 3912, Australia",Somerville,-38.22121685,145.15534728066663,"Pearcedale, Somerville, Pearcedale"
3915,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Hastings Police Station,,-38.3079509,145.18464643694028,"Hastings, Hastings West"
3931,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Mornington Police Station,Mornington,-38.21636745,145.03689511877738,Mornington
3936,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Dromana Police Station,Dromana,-38.33474645,144.96106795,"Dromana, Safety Beach"
3939,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Rosebud Police Station,Rosebud,-38.3698081,144.88991529502601,"Rosebud, Rosebud South, Cape Schanck, Fingal"
3977,Southeastern municipalities and their suburbs,City of Casey,Outer,Cranbourne,Cranbourne,-38.1134141,145.2833318,"Botanic Ridge, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne West, Cranbourne South, Junction Village, Fiveways, Sandhurst, Skye"
