POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,2022
3931,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Mornington,1133500.0
3930,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Mount Eliza,1725000.0
3934,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Mount Martha, Balcombe, Osborne",1620833.3333333333
3912,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Pearcedale, Somerville, Pearcedale",813000.0
3939,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Rosebud, Rosebud South, Cape Schanck, Fingal",1275625.0
3021,Western municipalities and their suburbs,City of Brimbank,Mid,"Albanvale, Kealba, Kings Park, St Albans",653875.0
3020,Western municipalities and their suburbs,City of Brimbank,Mid,"Albion, Sunshine, Sunshine North, Sunshine West",796625.0
3022,Western municipalities and their suburbs,City of Brimbank,Mid,Ardeer,682000.0
3023,Western municipalities and their suburbs,City of Brimbank,Mid,"Cairnlea, Deer Park, Burnside, Burnside Heights, Caroline Springs, Cobblebank, Deanside",729928.5714285715
3037,Western municipalities and their suburbs,City of Brimbank,Mid,"Delahey, Sydenham",678750.0
3038,Western municipalities and their suburbs,City of Brimbank,Mid,"Keilor Downs, Keilor Lodge, Taylors Lakes",861666.6666666666
3036,Western municipalities and their suburbs,City of Brimbank,Mid,"Keilor, Keilor",1000000.0
3028,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona Meadows, Laverton South, Laverton, Seabrook, Laverton",714250.0
3025,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona North, Altona East",1018750.0
3018,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona, Seaholme",1147500.0
3015,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Newport, Spotswood, South Kingsville",1170833.3333333333
3016,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Williamstown, Williamstown North",1342000.0
3019,Western municipalities and their suburbs,City of Maribyrnong,Mid,Braybrook,795000.0
3012,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Brooklyn, Brooklyn, Kingsville, Maidstone, West Footscray",986125.0
3011,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Footscray, Seddon",1020000.0
3013,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Yarraville, Aintree, Bonnie Brook",871666.6666666666
3338,Western municipalities and their suburbs,City of Melton,Outer,"Brookfield, Eynesbury, Fraser Rise, Harkness, Melton South, Eynesbury",621000.0
3427,Western municipalities and their suburbs,City of Melton,Outer,"Diggers Rest, Diggers Rest",650500.0
3337,Western municipalities and their suburbs,City of Melton,Outer,"Kurunjang, Melton, Melton West",533666.6666666666
3335,Western municipalities and their suburbs,City of Melton,Outer,"Rockbank, Strathtulloh, Taylors Hill, Thornhill Park",690000.0
3030,Western municipalities and their suburbs,City of Wyndham,Outer,"Derrimut, Point Cook, Sanctuary Lakes, Werribee, Werribee South",753800.0
3024,Western municipalities and their suburbs,City of Wyndham,Outer,"Manor Lakes, Wyndham Vale, Mambourin",619833.3333333334
3029,Western municipalities and their suburbs,City of Wyndham,Outer,"Truganina, Weir Views, Hoppers Crossing, Tarneit, Truganina",626625.0
