POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,POST_CODE,Education_Sector,School_Name,School_Type,Longitude,Latitude,SUBURB_NAMES
325,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,Glen Katherine Primary School,Primary,145.13984,-37.68998,"Eltham, Eltham North, Eltham, Eltham North, Research"
326,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,Eltham High School,Secondary,145.14172,-37.72444,"Eltham, Eltham North, Eltham, Eltham North, Research"
327,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,St Helena Secondary College,Secondary,145.13991,-37.68687,"Eltham, Eltham North, Eltham, Eltham North, Research"
328,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Catholic,Catholic Ladies' College Ltd,Secondary,145.14356,-37.71152,"Eltham, Eltham North, Eltham, Eltham North, Research"
329,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Catholic,Our Lady Help of Christians School,Primary,145.14791,-37.71612,"Eltham, Eltham North, Eltham, Eltham North, Research"
330,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Independent,Eltham College,Pri/Sec,145.19223,-37.70044,"Eltham, Eltham North, Eltham, Eltham North, Research"
331,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Catholic,Holy Trinity Primary School,Primary,145.13546,-37.69844,"Eltham, Eltham North, Eltham, Eltham North, Research"
332,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,Eltham Primary School,Primary,145.1478,-37.72498,"Eltham, Eltham North, Eltham, Eltham North, Research"
333,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,Research Primary School,Primary,145.18357,-37.70292,"Eltham, Eltham North, Eltham, Eltham North, Research"
334,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,Eltham North Primary School,Primary,145.15087,-37.70011,"Eltham, Eltham North, Eltham, Eltham North, Research"
335,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,Eltham East Primary School,Primary,145.15486,-37.71143,"Eltham, Eltham North, Eltham, Eltham North, Research"
336,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,Glen Katherine Primary School,Primary,145.13984,-37.68998,"Eltham, Eltham North, Eltham, Eltham North, Research"
337,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,Eltham High School,Secondary,145.14172,-37.72444,"Eltham, Eltham North, Eltham, Eltham North, Research"
338,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,St Helena Secondary College,Secondary,145.13991,-37.68687,"Eltham, Eltham North, Eltham, Eltham North, Research"
339,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Catholic,Catholic Ladies' College Ltd,Secondary,145.14356,-37.71152,"Eltham, Eltham North, Eltham, Eltham North, Research"
340,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Catholic,Our Lady Help of Christians School,Primary,145.14791,-37.71612,"Eltham, Eltham North, Eltham, Eltham North, Research"
341,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Independent,Eltham College,Pri/Sec,145.19223,-37.70044,"Eltham, Eltham North, Eltham, Eltham North, Research"
342,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Catholic,Holy Trinity Primary School,Primary,145.13546,-37.69844,"Eltham, Eltham North, Eltham, Eltham North, Research"
343,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,Eltham Primary School,Primary,145.1478,-37.72498,"Eltham, Eltham North, Eltham, Eltham North, Research"
344,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,Research Primary School,Primary,145.18357,-37.70292,"Eltham, Eltham North, Eltham, Eltham North, Research"
345,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,Eltham North Primary School,Primary,145.15087,-37.70011,"Eltham, Eltham North, Eltham, Eltham North, Research"
346,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,Eltham East Primary School,Primary,145.15486,-37.71143,"Eltham, Eltham North, Eltham, Eltham North, Research"
347,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,Glen Katherine Primary School,Primary,145.13984,-37.68998,"Eltham, Eltham North, Eltham, Eltham North, Research"
348,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,Eltham High School,Secondary,145.14172,-37.72444,"Eltham, Eltham North, Eltham, Eltham North, Research"
349,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Government,St Helena Secondary College,Secondary,145.13991,-37.68687,"Eltham, Eltham North, Eltham, Eltham North, Research"
350,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Catholic,Catholic Ladies' College Ltd,Secondary,145.14356,-37.71152,"Eltham, Eltham North, Eltham, Eltham North, Research"
351,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Catholic,Our Lady Help of Christians School,Primary,145.14791,-37.71612,"Eltham, Eltham North, Eltham, Eltham North, Research"
352,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Independent,Eltham College,Pri/Sec,145.19223,-37.70044,"Eltham, Eltham North, Eltham, Eltham North, Research"
353,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,3095,Catholic,Holy Trinity Primary School,Primary,145.13546,-37.69844,"Eltham, Eltham North, Eltham, Eltham North, Research"
354,Northern municipalities and their suburbs,City of Banyule,Mid,3081,Government,Waratah Special Developmental School,Special,145.04074,-37.75629,"Heidelberg Heights, Heidelberg West"
355,Northern municipalities and their suburbs,City of Banyule,Mid,3081,Catholic,St Pius X School,Primary,145.04629,-37.74692,"Heidelberg Heights, Heidelberg West"
356,Northern municipalities and their suburbs,City of Banyule,Mid,3081,Government,Waratah Special Developmental School,Special,145.04074,-37.75629,"Heidelberg Heights, Heidelberg West"
357,Northern municipalities and their suburbs,City of Banyule,Mid,3081,Catholic,St Pius X School,Primary,145.04629,-37.74692,"Heidelberg Heights, Heidelberg West"
358,Northern municipalities and their suburbs,City of Banyule,Mid,3079,Government,Ivanhoe Primary School,Primary,145.04298,-37.76657,"Ivanhoe, Ivanhoe East"
359,Northern municipalities and their suburbs,City of Banyule,Mid,3079,Government,Ivanhoe East Primary School,Primary,145.05945,-37.77459,"Ivanhoe, Ivanhoe East"
360,Northern municipalities and their suburbs,City of Banyule,Mid,3079,Independent,Ivanhoe Grammar School,Pri/Sec,145.04448,-37.77252,"Ivanhoe, Ivanhoe East"
361,Northern municipalities and their suburbs,City of Banyule,Mid,3079,Catholic,Mary Immaculate School,Primary,145.03876,-37.77194,"Ivanhoe, Ivanhoe East"
362,Northern municipalities and their suburbs,City of Banyule,Mid,3079,Independent,Ivanhoe Girls' Grammar School,Pri/Sec,145.04672,-37.76527,"Ivanhoe, Ivanhoe East"
363,Northern municipalities and their suburbs,City of Banyule,Mid,3079,Catholic,St Bernadette's School,Primary,145.03412,-37.76306,"Ivanhoe, Ivanhoe East"
364,Northern municipalities and their suburbs,City of Banyule,Mid,3079,Government,Ivanhoe Primary School,Primary,145.04298,-37.76657,"Ivanhoe, Ivanhoe East"
365,Northern municipalities and their suburbs,City of Banyule,Mid,3079,Government,Ivanhoe East Primary School,Primary,145.05945,-37.77459,"Ivanhoe, Ivanhoe East"
366,Northern municipalities and their suburbs,City of Banyule,Mid,3079,Independent,Ivanhoe Grammar School,Pri/Sec,145.04448,-37.77252,"Ivanhoe, Ivanhoe East"
367,Northern municipalities and their suburbs,City of Banyule,Mid,3079,Catholic,Mary Immaculate School,Primary,145.03876,-37.77194,"Ivanhoe, Ivanhoe East"
368,Northern municipalities and their suburbs,City of Banyule,Mid,3079,Independent,Ivanhoe Girls' Grammar School,Pri/Sec,145.04672,-37.76527,"Ivanhoe, Ivanhoe East"
369,Northern municipalities and their suburbs,City of Banyule,Mid,3079,Catholic,St Bernadette's School,Primary,145.03412,-37.76306,"Ivanhoe, Ivanhoe East"
370,Northern municipalities and their suburbs,City of Banyule,Mid,3094,Government,Montmorency Primary School,Primary,145.1216,-37.71765,Montmorency
371,Northern municipalities and their suburbs,City of Banyule,Mid,3094,Government,Montmorency South Primary School,Primary,145.12989,-37.72492,Montmorency
372,Northern municipalities and their suburbs,City of Banyule,Mid,3094,Government,Montmorency Secondary College,Secondary,145.11361,-37.71408,Montmorency
373,Northern municipalities and their suburbs,City of Banyule,Mid,3094,Catholic,St Francis Xavier Primary School,Primary,145.12656,-37.71601,Montmorency
374,Northern municipalities and their suburbs,City of Banyule,Mid,3087,Government,Watsonia Primary School,Primary,145.08692,-37.70703,"Watsonia, Watsonia North"
375,Northern municipalities and their suburbs,City of Banyule,Mid,3087,Government,Watsonia North Primary School,Primary,145.08051,-37.7004,"Watsonia, Watsonia North"
376,Northern municipalities and their suburbs,City of Banyule,Mid,3087,Catholic,Loyola College,Secondary,145.08073,-37.7034,"Watsonia, Watsonia North"
377,Northern municipalities and their suburbs,City of Banyule,Mid,3087,Government,Watsonia Primary School,Primary,145.08692,-37.70703,"Watsonia, Watsonia North"
378,Northern municipalities and their suburbs,City of Banyule,Mid,3087,Government,Watsonia North Primary School,Primary,145.08051,-37.7004,"Watsonia, Watsonia North"
379,Northern municipalities and their suburbs,City of Banyule,Mid,3087,Catholic,Loyola College,Secondary,145.08073,-37.7034,"Watsonia, Watsonia North"
380,Northern municipalities and their suburbs,City of Darebin,Mid,3070,Government,Northcote Primary School,Primary,144.99688,-37.77176,"Northcote, Westgarth"
381,Northern municipalities and their suburbs,City of Darebin,Mid,3070,Government,Westgarth Primary School,Primary,145.00556,-37.77647,"Northcote, Westgarth"
382,Northern municipalities and their suburbs,City of Darebin,Mid,3070,Government,Croxton Special School,Special,144.9874,-37.764,"Northcote, Westgarth"
383,Northern municipalities and their suburbs,City of Darebin,Mid,3070,Government,Northcote High School,Secondary,144.98971,-37.77416,"Northcote, Westgarth"
384,Northern municipalities and their suburbs,City of Darebin,Mid,3070,Catholic,St Joseph's School,Primary,144.99672,-37.77462,"Northcote, Westgarth"
385,Northern municipalities and their suburbs,City of Darebin,Mid,3070,Catholic,Santa Maria College,Secondary,145.00248,-37.77036,"Northcote, Westgarth"
386,Northern municipalities and their suburbs,City of Darebin,Mid,3070,Government,Northcote Primary School,Primary,144.99688,-37.77176,"Northcote, Westgarth"
387,Northern municipalities and their suburbs,City of Darebin,Mid,3070,Government,Westgarth Primary School,Primary,145.00556,-37.77647,"Northcote, Westgarth"
388,Northern municipalities and their suburbs,City of Darebin,Mid,3070,Government,Croxton Special School,Special,144.9874,-37.764,"Northcote, Westgarth"
389,Northern municipalities and their suburbs,City of Darebin,Mid,3070,Government,Northcote High School,Secondary,144.98971,-37.77416,"Northcote, Westgarth"
390,Northern municipalities and their suburbs,City of Darebin,Mid,3070,Catholic,St Joseph's School,Primary,144.99672,-37.77462,"Northcote, Westgarth"
391,Northern municipalities and their suburbs,City of Darebin,Mid,3070,Catholic,Santa Maria College,Secondary,145.00248,-37.77036,"Northcote, Westgarth"
392,Northern municipalities and their suburbs,City of Darebin,Mid,3072,Government,Preston South Primary School,Primary,145.00745,-37.74787,Preston
393,Northern municipalities and their suburbs,City of Darebin,Mid,3072,Government,Preston Primary School,Primary,145.01031,-37.73055,Preston
394,Northern municipalities and their suburbs,City of Darebin,Mid,3072,Government,Yarra Me School,Special,145.01817,-37.73791,Preston
395,Northern municipalities and their suburbs,City of Darebin,Mid,3072,Government,Preston West Primary School,Primary,144.99553,-37.73737,Preston
396,Northern municipalities and their suburbs,City of Darebin,Mid,3072,Government,Bell Primary School,Primary,144.99061,-37.7477,Preston
397,Northern municipalities and their suburbs,City of Darebin,Mid,3072,Government,Newlands Primary School,Primary,144.98538,-37.73011,Preston
398,Northern municipalities and their suburbs,City of Darebin,Mid,3072,Government,Preston North East Primary School,Primary,145.02946,-37.73305,Preston
399,Northern municipalities and their suburbs,City of Darebin,Mid,3072,Government,Northern College of the Arts and Technology,Secondary,145.02537,-37.74007,Preston
400,Northern municipalities and their suburbs,City of Darebin,Mid,3072,Government,Preston High School,Secondary,145.0064,-37.74169,Preston
401,Northern municipalities and their suburbs,City of Darebin,Mid,3072,Catholic,Sacred Heart School,Primary,145.00377,-37.74481,Preston
402,Northern municipalities and their suburbs,City of Darebin,Mid,3072,Catholic,St Raphael's School,Primary,144.99262,-37.7341,Preston
403,Northern municipalities and their suburbs,City of Darebin,Mid,3072,Independent,St John's College Preston,Pri/Sec,144.99953,-37.74593,Preston
404,Northern municipalities and their suburbs,City of Darebin,Mid,3072,Independent,East Preston Islamic College,Pri/Sec,145.03622,-37.73395,Preston
405,Northern municipalities and their suburbs,City of Darebin,Mid,3073,Government,Reservoir Primary School,Primary,145.00677,-37.71142,Reservoir
406,Northern municipalities and their suburbs,City of Darebin,Mid,3073,Government,Reservoir East Primary School,Primary,145.02184,-37.71998,Reservoir
407,Northern municipalities and their suburbs,City of Darebin,Mid,3073,Government,Reservoir West Primary School,Primary,144.99023,-37.72214,Reservoir
408,Northern municipalities and their suburbs,City of Darebin,Mid,3073,Government,Northern School For Autism,Special,145.02993,-37.70059,Reservoir
409,Northern municipalities and their suburbs,City of Darebin,Mid,3073,Government,Reservoir Views Primary School,Primary,145.02272,-37.70552,Reservoir
410,Northern municipalities and their suburbs,City of Darebin,Mid,3073,Government,William Ruthven Primary School,Primary,145.00278,-37.69667,Reservoir
411,Northern municipalities and their suburbs,City of Darebin,Mid,3073,Government,Reservoir High School,Secondary,145.02977,-37.72226,Reservoir
412,Northern municipalities and their suburbs,City of Darebin,Mid,3073,Government,William Ruthven Secondary College,Secondary,145.00277,-37.69667,Reservoir
413,Northern municipalities and their suburbs,City of Darebin,Mid,3073,Catholic,St Gabriel's School,Primary,145.00512,-37.71802,Reservoir
414,Northern municipalities and their suburbs,City of Darebin,Mid,3073,Catholic,Holy Name School,Primary,145.01857,-37.73026,Reservoir
415,Northern municipalities and their suburbs,City of Darebin,Mid,3073,Catholic,St Stephen's School,Primary,145.0192,-37.71157,Reservoir
416,Northern municipalities and their suburbs,City of Darebin,Mid,3073,Catholic,St Joseph the Worker School,Primary,144.99292,-37.70222,Reservoir
417,Northern municipalities and their suburbs,City of Darebin,Mid,3073,Independent,Maharishi School of the Age of Enlightenment,Primary,145.01947,-37.70438,Reservoir
418,Northern municipalities and their suburbs,City of Darebin,Mid,3073,Independent,Preston Reservoir Adult Community Education Inc | Prace College,Special,145.00926,-37.6987,Reservoir
419,Northern municipalities and their suburbs,City of Darebin,Mid,3071,Government,Wales Street Primary School,Primary,145.00883,-37.76151,Thornbury
420,Northern municipalities and their suburbs,City of Darebin,Mid,3071,Government,Penders Grove Primary School,Primary,145.01427,-37.75452,Thornbury
421,Northern municipalities and their suburbs,City of Darebin,Mid,3071,Government,Thornbury Primary School,Primary,144.99675,-37.75543,Thornbury
422,Northern municipalities and their suburbs,City of Darebin,Mid,3071,Government,Virtual School Victoria,Pri/Sec,145.0257,-37.76204,Thornbury
423,Northern municipalities and their suburbs,City of Darebin,Mid,3071,Government,Victorian School Of Languages,Pri/Sec,145.02583,-37.76195,Thornbury
424,Northern municipalities and their suburbs,City of Darebin,Mid,3071,Government,Thornbury High School,Secondary,145.02521,-37.75649,Thornbury
425,Northern municipalities and their suburbs,City of Darebin,Mid,3071,Catholic,St Mary's School,Primary,145.00166,-37.75684,Thornbury
426,Northern municipalities and their suburbs,City of Darebin,Mid,3071,Catholic,Holy Spirit School,Primary,145.01619,-37.76085,Thornbury
427,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Broadmeadows Primary School,Primary,144.92849,-37.68019,"Broadmeadows, Dallas, Jacana"
428,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Hume Valley School,Special,144.92701,-37.6724,"Broadmeadows, Dallas, Jacana"
429,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Broadmeadows Valley Primary School,Primary,144.9141,-37.6814,"Broadmeadows, Dallas, Jacana"
430,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Broadmeadows Special Developmental School,Special,144.9141,-37.68165,"Broadmeadows, Dallas, Jacana"
431,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Meadows Primary School,Primary,144.92956,-37.68754,"Broadmeadows, Dallas, Jacana"
432,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Dallas Brooks Community Primary School,Primary,144.94185,-37.6703,"Broadmeadows, Dallas, Jacana"
433,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Jacana School for Autism,Special,144.91309,-37.68762,"Broadmeadows, Dallas, Jacana"
434,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Hume Central Secondary College,Secondary,144.91536,-37.68044,"Broadmeadows, Dallas, Jacana"
435,Northern municipalities and their suburbs,City of Hume,Outer,3047,Catholic,St Dominic's School,Primary,144.9237,-37.68506,"Broadmeadows, Dallas, Jacana"
436,Northern municipalities and their suburbs,City of Hume,Outer,3047,Catholic,Holy Child School,Primary,144.93198,-37.66574,"Broadmeadows, Dallas, Jacana"
437,Northern municipalities and their suburbs,City of Hume,Outer,3047,Independent,Ilim College,Pri/Sec,144.93007,-37.66862,"Broadmeadows, Dallas, Jacana"
438,Northern municipalities and their suburbs,City of Hume,Outer,3047,Catholic,Penola Catholic College,Secondary,144.91826,-37.68786,"Broadmeadows, Dallas, Jacana"
439,Northern municipalities and their suburbs,City of Hume,Outer,3047,Independent,Sirius College,Pri/Sec,144.93564,-37.68472,"Broadmeadows, Dallas, Jacana"
440,Northern municipalities and their suburbs,City of Hume,Outer,3047,Independent,My College,Primary,144.92369,-37.67575,"Broadmeadows, Dallas, Jacana"
441,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Broadmeadows Primary School,Primary,144.92849,-37.68019,"Broadmeadows, Dallas, Jacana"
442,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Hume Valley School,Special,144.92701,-37.6724,"Broadmeadows, Dallas, Jacana"
443,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Broadmeadows Valley Primary School,Primary,144.9141,-37.6814,"Broadmeadows, Dallas, Jacana"
444,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Broadmeadows Special Developmental School,Special,144.9141,-37.68165,"Broadmeadows, Dallas, Jacana"
445,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Meadows Primary School,Primary,144.92956,-37.68754,"Broadmeadows, Dallas, Jacana"
446,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Dallas Brooks Community Primary School,Primary,144.94185,-37.6703,"Broadmeadows, Dallas, Jacana"
447,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Jacana School for Autism,Special,144.91309,-37.68762,"Broadmeadows, Dallas, Jacana"
448,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Hume Central Secondary College,Secondary,144.91536,-37.68044,"Broadmeadows, Dallas, Jacana"
449,Northern municipalities and their suburbs,City of Hume,Outer,3047,Catholic,St Dominic's School,Primary,144.9237,-37.68506,"Broadmeadows, Dallas, Jacana"
450,Northern municipalities and their suburbs,City of Hume,Outer,3047,Catholic,Holy Child School,Primary,144.93198,-37.66574,"Broadmeadows, Dallas, Jacana"
451,Northern municipalities and their suburbs,City of Hume,Outer,3047,Independent,Ilim College,Pri/Sec,144.93007,-37.66862,"Broadmeadows, Dallas, Jacana"
452,Northern municipalities and their suburbs,City of Hume,Outer,3047,Catholic,Penola Catholic College,Secondary,144.91826,-37.68786,"Broadmeadows, Dallas, Jacana"
453,Northern municipalities and their suburbs,City of Hume,Outer,3047,Independent,Sirius College,Pri/Sec,144.93564,-37.68472,"Broadmeadows, Dallas, Jacana"
454,Northern municipalities and their suburbs,City of Hume,Outer,3047,Independent,My College,Primary,144.92369,-37.67575,"Broadmeadows, Dallas, Jacana"
455,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Broadmeadows Primary School,Primary,144.92849,-37.68019,"Broadmeadows, Dallas, Jacana"
456,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Hume Valley School,Special,144.92701,-37.6724,"Broadmeadows, Dallas, Jacana"
457,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Broadmeadows Valley Primary School,Primary,144.9141,-37.6814,"Broadmeadows, Dallas, Jacana"
458,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Broadmeadows Special Developmental School,Special,144.9141,-37.68165,"Broadmeadows, Dallas, Jacana"
459,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Meadows Primary School,Primary,144.92956,-37.68754,"Broadmeadows, Dallas, Jacana"
460,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Dallas Brooks Community Primary School,Primary,144.94185,-37.6703,"Broadmeadows, Dallas, Jacana"
461,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Jacana School for Autism,Special,144.91309,-37.68762,"Broadmeadows, Dallas, Jacana"
462,Northern municipalities and their suburbs,City of Hume,Outer,3047,Government,Hume Central Secondary College,Secondary,144.91536,-37.68044,"Broadmeadows, Dallas, Jacana"
463,Northern municipalities and their suburbs,City of Hume,Outer,3047,Catholic,St Dominic's School,Primary,144.9237,-37.68506,"Broadmeadows, Dallas, Jacana"
464,Northern municipalities and their suburbs,City of Hume,Outer,3047,Catholic,Holy Child School,Primary,144.93198,-37.66574,"Broadmeadows, Dallas, Jacana"
465,Northern municipalities and their suburbs,City of Hume,Outer,3047,Independent,Ilim College,Pri/Sec,144.93007,-37.66862,"Broadmeadows, Dallas, Jacana"
466,Northern municipalities and their suburbs,City of Hume,Outer,3047,Catholic,Penola Catholic College,Secondary,144.91826,-37.68786,"Broadmeadows, Dallas, Jacana"
467,Northern municipalities and their suburbs,City of Hume,Outer,3047,Independent,Sirius College,Pri/Sec,144.93564,-37.68472,"Broadmeadows, Dallas, Jacana"
468,Northern municipalities and their suburbs,City of Hume,Outer,3047,Independent,My College,Primary,144.92369,-37.67575,"Broadmeadows, Dallas, Jacana"
469,Northern municipalities and their suburbs,City of Hume,Outer,3061,Government,Campbellfield Heights Primary School,Primary,144.96587,-37.67433,Campbellfield
470,Northern municipalities and their suburbs,City of Hume,Outer,3048,Government,Bethal Primary School,Primary,144.91782,-37.6592,"Coolaroo, Meadow Heights"
471,Northern municipalities and their suburbs,City of Hume,Outer,3048,Government,Meadow Heights Primary School,Primary,144.92384,-37.65042,"Coolaroo, Meadow Heights"
472,Northern municipalities and their suburbs,City of Hume,Outer,3048,Government,Coolaroo South Primary School,Primary,144.9309,-37.66206,"Coolaroo, Meadow Heights"
473,Northern municipalities and their suburbs,City of Hume,Outer,3048,Independent,St Mary's Coptic Orthodox College,Pri/Sec,144.93121,-37.65583,"Coolaroo, Meadow Heights"
474,Northern municipalities and their suburbs,City of Hume,Outer,3048,Government,Bethal Primary School,Primary,144.91782,-37.6592,"Coolaroo, Meadow Heights"
475,Northern municipalities and their suburbs,City of Hume,Outer,3048,Government,Meadow Heights Primary School,Primary,144.92384,-37.65042,"Coolaroo, Meadow Heights"
476,Northern municipalities and their suburbs,City of Hume,Outer,3048,Government,Coolaroo South Primary School,Primary,144.9309,-37.66206,"Coolaroo, Meadow Heights"
477,Northern municipalities and their suburbs,City of Hume,Outer,3048,Independent,St Mary's Coptic Orthodox College,Pri/Sec,144.93121,-37.65583,"Coolaroo, Meadow Heights"
478,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Mickleham Primary School,Primary,144.87655,-37.5635,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
479,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Craigieburn Primary School,Primary,144.93355,-37.58264,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
480,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Craigieburn South Primary School,Primary,144.93585,-37.60875,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
481,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Willmott Park Primary School,Primary,144.92259,-37.59178,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
482,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Roxburgh Homestead Primary School,Primary,144.91628,-37.63206,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
483,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Roxburgh Park Primary School,Primary,144.9314,-37.63424,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
484,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Roxburgh Rise Primary School,Primary,144.9235,-37.61621,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
485,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Aitken Creek Primary School,Primary,144.90557,-37.58175,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
486,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Newbury Primary School,Primary,144.90955,-37.57099,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
487,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Aitken Hill Primary School,Primary,144.90556,-37.60171,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
488,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Gaayip-Yagila Primary School,Primary,144.90909,-37.52861,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
489,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Gilgai Plains Primary School,Primary,144.95825,-37.53243,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
490,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Elevation Secondary College,Secondary,144.89025,-37.59829,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
491,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Roxburgh College,Secondary,144.93033,-37.63041,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
492,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Craigieburn Secondary College,Secondary,144.93595,-37.60875,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
493,Northern municipalities and their suburbs,City of Hume,Outer,3064,Government,Mount Ridley P-12 College,Pri/Sec,144.92319,-37.58031,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
494,Northern municipalities and their suburbs,City of Hume,Outer,3064,Catholic,Our Lady's School,Primary,144.93137,-37.5986,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
495,Northern municipalities and their suburbs,City of Hume,Outer,3064,Catholic,Good Samaritan Catholic Primary School,Primary,144.93432,-37.62344,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
496,Northern municipalities and their suburbs,City of Hume,Outer,3064,Independent,Hume Anglican Grammar,Pri/Sec,144.93125,-37.56798,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
497,Northern municipalities and their suburbs,City of Hume,Outer,3064,Catholic,Mother Teresa School,Primary,144.93276,-37.57522,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
498,Northern municipalities and their suburbs,City of Hume,Outer,3064,Catholic,Oscar Romero Catholic Primary School,Primary,144.8961,-37.58197,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
499,Northern municipalities and their suburbs,City of Hume,Outer,3064,Catholic,Holy Cross Catholic Primary School,Primary,144.9052,-37.53046,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
