POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,POST_CODE,Education_Sector,School_Name,School_Type,Longitude,Latitude,SUBURB_NAMES
28,Inner City municipalities and their suburbs,City of Melbourne,Inner,3051,Catholic,St Joseph's Flexible Learning Centre Melbourne,Special,144.95494,-37.80384,North Melbourne
29,Inner City municipalities and their suburbs,City of Melbourne,Inner,3051,Independent,River Nile School,Special,144.95509,-37.80519,North Melbourne
30,Inner City municipalities and their suburbs,City of Melbourne,Inner,3052,Government,Royal Childrens Hospital Education Institute,Special,144.95097,-37.79435,Parkville
31,Inner City municipalities and their suburbs,City of Melbourne,Inner,3052,Government,University High School,Secondary,144.95538,-37.79698,Parkville
32,Inner City municipalities and their suburbs,City of Melbourne,Inner,3052,Government,Parkville College,Special,144.94736,-37.77682,Parkville
33,Inner City municipalities and their suburbs,City of Melbourne,Inner,3207,Government,Port Melbourne Primary School,Primary,144.93381,-37.83532,"Port Melbourne, Port Melbourne, Garden City"
34,Inner City municipalities and their suburbs,City of Melbourne,Inner,3207,Government,Port Phillip Specialist School,Special,144.94197,-37.83679,"Port Melbourne, Port Melbourne, Garden City"
35,Inner City municipalities and their suburbs,City of Melbourne,Inner,3207,Government,Port Melbourne Secondary College,Secondary,144.93204,-37.83201,"Port Melbourne, Port Melbourne, Garden City"
36,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3207,Government,Port Melbourne Primary School,Primary,144.93381,-37.83532,"Port Melbourne, Port Melbourne, Garden City"
37,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3207,Government,Port Phillip Specialist School,Special,144.94197,-37.83679,"Port Melbourne, Port Melbourne, Garden City"
38,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3207,Government,Port Melbourne Secondary College,Secondary,144.93204,-37.83201,"Port Melbourne, Port Melbourne, Garden City"
39,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3207,Government,Port Melbourne Primary School,Primary,144.93381,-37.83532,"Port Melbourne, Port Melbourne, Garden City"
40,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3207,Government,Port Phillip Specialist School,Special,144.94197,-37.83679,"Port Melbourne, Port Melbourne, Garden City"
41,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3207,Government,Port Melbourne Secondary College,Secondary,144.93204,-37.83201,"Port Melbourne, Port Melbourne, Garden City"
42,Inner City municipalities and their suburbs,City of Melbourne,Inner,3141,Government,South Yarra Primary School,Primary,144.98562,-37.84135,"South Yarra, South Yarra"
43,Inner City municipalities and their suburbs,City of Melbourne,Inner,3141,Government,Melbourne High School,Secondary,144.99531,-37.83683,"South Yarra, South Yarra"
44,Inner City municipalities and their suburbs,City of Melbourne,Inner,3141,Government,Centre for Higher Education Studies,Secondary,144.99612,-37.83615,"South Yarra, South Yarra"
45,Inner City municipalities and their suburbs,City of Melbourne,Inner,3141,Independent,Christ Church Grammar School,Primary,144.98574,-37.83895,"South Yarra, South Yarra"
46,Inner City municipalities and their suburbs,City of Melbourne,Inner,3141,Independent,Melbourne Girls Grammar,Pri/Sec,144.9848,-37.83169,"South Yarra, South Yarra"
47,Inner City municipalities and their suburbs,City of Melbourne,Inner,3141,Independent,Kamaruka,Special,144.99768,-37.83762,"South Yarra, South Yarra"
48,Southeastern municipalities and their suburbs,City of Stonnington,Mid,3141,Government,South Yarra Primary School,Primary,144.98562,-37.84135,"South Yarra, South Yarra"
49,Southeastern municipalities and their suburbs,City of Stonnington,Mid,3141,Government,Melbourne High School,Secondary,144.99531,-37.83683,"South Yarra, South Yarra"
50,Southeastern municipalities and their suburbs,City of Stonnington,Mid,3141,Government,Centre for Higher Education Studies,Secondary,144.99612,-37.83615,"South Yarra, South Yarra"
51,Southeastern municipalities and their suburbs,City of Stonnington,Mid,3141,Independent,Christ Church Grammar School,Primary,144.98574,-37.83895,"South Yarra, South Yarra"
52,Southeastern municipalities and their suburbs,City of Stonnington,Mid,3141,Independent,Melbourne Girls Grammar,Pri/Sec,144.9848,-37.83169,"South Yarra, South Yarra"
53,Southeastern municipalities and their suburbs,City of Stonnington,Mid,3141,Independent,Kamaruka,Special,144.99768,-37.83762,"South Yarra, South Yarra"
54,Inner City municipalities and their suburbs,City of Melbourne,Inner,3003,Catholic,Simonds Catholic College,Secondary,144.95288,-37.80597,West Melbourne
55,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3206,Government,Albert Park Primary School,Primary,144.95277,-37.84188,"Albert Park, Middle Park"
56,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3206,Government,Middle Park Primary School,Primary,144.95751,-37.8478,"Albert Park, Middle Park"
